Comprehensive Processed Phrases - mox_bank_negative_comprehensive_processed_phrases.txt
==================================================

'intentionally difficult to understand' (frequency: 10)
'very bad experience' (frequency: 9)
'of mine)(a few days ago) ¡' (frequency: 7)
'cross border fees' (frequency: 6)
'need to wait' (frequency: 6)
'excise and custom' (frequency: 5)
'still pending for' (frequency: 4)
'cannot be registered' (frequency: 4)
't work anymore' (frequency: 4)
'not even copy' (frequency: 4)
't work for' (frequency: 4)
'this company does not support' (frequency: 4)
'able to connect' (frequency: 3)
'no concrete reason,' (frequency: 3)
'days, then weeks,' (frequency: 3)
'why on earth' (frequency: 3)
'down for maintenance(today' (frequency: 3)
'small amount very' (frequency: 3)
'team, as the' (frequency: 3)
'well as 2%' (frequency: 3)
'difference between statement' (frequency: 3)
'talking about feels' (frequency: 3)
'get the balance' (frequency: 3)
'cards and making' (frequency: 3)
'interest credit cards' (frequency: 3)
'terrible experience especially' (frequency: 3)
'pay the balance,' (frequency: 3)
'rule to auto' (frequency: 3)
'troubleshooting chat but' (frequency: 3)
'staff were totally' (frequency: 3)
'unhelpful support, wasted' (frequency: 3)
'week and unable' (frequency: 3)
'unable to withdraw' (frequency: 3)
'annoying！ selfie just' (frequency: 3)
'video call never' (frequency: 3)
'never be able' (frequency: 3)
'unstable and always' (frequency: 3)
'reliable, think twice' (frequency: 3)
'verify identity, need' (frequency: 3)
'video call everytime' (frequency: 3)
'keep selling the' (frequency: 3)
'end the conversation' (frequency: 3)
'continue the conversation' (frequency: 3)
'upper corner icons' (frequency: 3)
'cannot be sensed' (frequency: 3)
'sensed in new' (frequency: 3)
'again - unstable' (frequency: 3)
'unstable and unreliable' (frequency: 3)
'time-sensitive, but hey' (frequency: 3)
'few days back' (frequency: 3)
'2/ time estimate' (frequency: 3)
'estimate for support' (frequency: 3)
'support is inaccurate,' (frequency: 3)
'phone or email' (frequency: 3)
'chat support they' (frequency: 3)
'answer something irrelevant' (frequency: 3)
'irrelevant then immediately' (frequency: 3)
'submit a new' (frequency: 3)
'new ticket again' (frequency: 3)
'rewards progress and' (frequency: 3)
'repetitive promotional tactic' (frequency: 3)
'not receive reply' (frequency: 3)
'mox credit after' (frequency: 3)
'days been talk' (frequency: 3)
'many time and' (frequency: 3)
'still can’t solve' (frequency: 3)
'month, never missed' (frequency: 3)
'won’t reply, and' (frequency: 3)
'local credit card' (frequency: 3)
'male wax doll' (frequency: 3)
'singer in hong' (frequency: 3)
'dont know why' (frequency: 3)
'police had escalated' (frequency: 3)
'paper from excise' (frequency: 3)
'scammers to take' (frequency: 3)
'hard to waive' (frequency: 3)
'saving here after' (frequency: 3)
'ac without reason,' (frequency: 3)
'most importantly even' (frequency: 3)
'when other mox' (frequency: 3)
'stop the scam,' (frequency: 3)
'if they want' (frequency: 3)
'contact the mastercard' (frequency: 3)
'mastercard and cancel' (frequency: 3)
'scamming, last year' (frequency: 3)
'contact them through' (frequency: 3)
'scammers who scam' (frequency: 3)
'that low level' (frequency: 3)
'help and even' (frequency: 3)
'even after calling' (frequency: 3)
'each operator tells' (frequency: 3)
'fixed term attraction' (frequency: 3)
'attraction not realised' (frequency: 3)
'realised and support' (frequency: 3)
